80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 304, 0.000194
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/images/background.jpg, HTTP/1.1, 304, 0.000368
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 304, 0.000226
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 304, 0.000205
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 304, 0.000242
80.98.152.198, 2016-05-19 09:55:03, GET, /ec2_instance_power/static/images/favicon.ico, HTTP/1.1, 200, 0.000384
80.98.152.198, 2016-05-19 09:55:04, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.118518
80.98.152.198, 2016-05-19 10:08:23, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.205422
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.089239
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000353
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 200, 0.000356
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000188
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000238
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 200, 0.000200
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 200, 0.000219
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000223
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 200, 0.000184
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000193
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 200, 0.000233
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 200, 0.000248
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 200, 0.000207
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 200, 0.001511
217.79.131.6, 2016-05-19 11:11:30, GET, /ec2_instance_power/static/images/background.jpg, HTTP/1.1, 200, 0.000285
217.79.131.6, 2016-05-19 11:11:31, GET, /ec2_instance_power/static/images/favicon.ico, HTTP/1.1, 200, 0.000376
217.79.131.6, 2016-05-19 11:11:35, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.167675
217.79.131.6, 2016-05-19 11:11:45, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.124715
217.79.131.6, 2016-05-19 11:18:55, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.151093
